wl,n,k
506.06,1.89187,0.262138
507.65,1.892159,0.261651
509.25,1.892334,0.261227
510.84,1.892405,0.260877
512.43,1.89238,0.260613
514.03,1.892271,0.260444
515.62,1.892089,0.260378
517.21,1.891846,0.260423
518.81,1.891555,0.260584
520.4,1.89123,0.260866
521.99,1.890883,0.26127
523.58,1.890529,0.261798
525.18,1.890181,0.26245
526.77,1.889852,0.263224
528.36,1.889556,0.264115
529.95,1.889304,0.26512
531.55,1.889108,0.266232
533.14,1.888979,0.267443
534.73,1.888926,0.268744
536.32,1.888957,0.270125
537.91,1.88908,0.271577
539.51,1.889299,0.273086
541.1,1.889619,0.274643
542.69,1.89004,0.276234
544.28,1.890565,0.277847
545.87,1.891191,0.27947
547.46,1.891916,0.281092
549.05,1.892735,0.282701
550.65,1.893643,0.284288
552.24,1.894631,0.285843
553.83,1.895691,0.287359
555.42,1.896814,0.288829
557.01,1.897987,0.290248
558.6,1.899202,0.291613
560.19,1.900445,0.292923
561.78,1.901705,0.294179
563.37,1.90297,0.295383
564.96,1.904228,0.29654
566.55,1.90547,0.297657
568.14,1.906685,0.298741
569.73,1.907866,0.299803
571.32,1.909005,0.300854
572.91,1.910097,0.301907
574.5,1.91114,0.302976
576.09,1.912132,0.304076
577.68,1.913075,0.305222
579.27,1.913973,0.306429
580.86,1.914833,0.307713
582.45,1.915664,0.309089
584.03,1.916477,0.310569
585.62,1.917287,0.312166
587.21,1.91811,0.31389
588.8,1.918964,0.31575
590.39,1.91987,0.317752
591.98,1.920848,0.319898
593.57,1.921922,0.322189
595.15,1.923115,0.32462
596.74,1.92445,0.327185
598.33,1.92595,0.329873
599.92,1.927636,0.332671
601.51,1.92953,0.335561
603.09,1.931649,0.338521
604.68,1.934009,0.341529
606.27,1.936622,0.344557
607.86,1.939497,0.347577
609.44,1.942639,0.350558
611.03,1.946049,0.353468
612.62,1.949722,0.356274
614.2,1.953648,0.358945
615.79,1.957815,0.361448
617.38,1.962202,0.363754
618.96,1.966787,0.365836
620.55,1.971541,0.367669
622.13,1.976432,0.369233
623.72,1.981424,0.370513
625.31,1.986478,0.371498
626.89,1.991554,0.372185
628.48,1.996608,0.372574
630.06,2.001599,0.372677
631.65,2.006484,0.372507
633.23,2.011222,0.372091
634.82,2.015777,0.371457
636.4,2.020115,0.370645
637.99,2.024209,0.369698
639.57,2.02804,0.368667
641.16,2.031594,0.367607
642.74,2.034869,0.366578
644.33,2.037873,0.36564
645.91,2.040624,0.364856
647.5,2.043153,0.364287
649.08,2.045501,0.363989
650.66,2.047723,0.364016
652.25,2.049884,0.364411
653.83,2.05206,0.365207
655.41,2.054333,0.366426
657,2.056795,0.368075
658.58,2.059541,0.370145
660.16,2.062665,0.372609
661.75,2.066261,0.375423
663.33,2.070417,0.378525
664.91,2.075212,0.381836
666.49,2.080712,0.385263
668.08,2.086969,0.388698
669.66,2.094015,0.392024
671.24,2.101865,0.395116
672.82,2.110511,0.397847
674.41,2.119924,0.400091
675.99,2.130055,0.401726
677.57,2.140836,0.402639
679.15,2.152179,0.402727
680.73,2.163985,0.401904
682.31,2.176138,0.400098
683.89,2.188516,0.397257
685.47,2.200991,0.393347
687.06,2.213432,0.388353
688.64,2.225708,0.38228
690.22,2.237692,0.375149
691.8,2.249263,0.367
693.38,2.260309,0.357886
694.96,2.270725,0.347875
696.54,2.280422,0.337046
698.12,2.289321,0.325488
699.7,2.297356,0.313296
701.27,2.304475,0.300571
702.85,2.310641,0.287416
704.43,2.31583,0.273936
706.01,2.320029,0.260235
707.59,2.323242,0.246415
709.17,2.325481,0.232574
710.75,2.326769,0.218805
712.33,2.327139,0.205196
713.9,2.326633,0.191824
715.48,2.325299,0.178765
717.06,2.323192,0.16608
718.64,2.320369,0.153827
720.22,2.316895,0.142051
721.79,2.312833,0.130792
723.37,2.308249,0.12008
724.95,2.303207,0.109937
726.52,2.297774,0.100376
728.1,2.292012,0.091407
729.68,2.285981,0.083028
731.25,2.27974,0.075235
732.83,2.273342,0.068017
734.41,2.266839,0.061359
735.98,2.260274,0.055242
737.56,2.253691,0.049644
739.13,2.247126,0.04454
740.71,2.240613,0.039903
742.29,2.234181,0.035706
743.86,2.227852,0.031919
745.44,2.221648,0.028514
747.01,2.215586,0.025461
748.59,2.209678,0.022733
750.16,2.203935,0.020301
751.73,2.198364,0.018139
753.31,2.192968,0.016222
754.88,2.187752,0.014526
756.46,2.182714,0.013029
758.03,2.177855,0.011709
759.6,2.173172,0.010548
761.18,2.168659,0.009529
762.75,2.164315,0.008633
764.32,2.160132,0.007849
765.9,2.156105,0.007161
767.47,2.152229,0.006559
769.04,2.148496,0.006031
770.61,2.144901,0.005569
772.19,2.141437,0.005163
773.76,2.138097,0.004807
775.33,2.134875,0.004495
776.9,2.131766,0.00422
778.47,2.128763,0.003977
780.04,2.125861,0.003762
781.62,2.123054,0.003572
783.19,2.120337,0.003403
784.76,2.117707,0.003252
786.33,2.115157,0.003118
787.9,2.112684,0.002997
789.47,2.110284,0.002888
791.04,2.107952,0.002789
792.61,2.105686,0.0027
794.18,2.103483,0.002618
795.75,2.101338,0.002543
797.32,2.09925,0.002475
798.89,2.097215,0.002412
800.46,2.095231,0.002353
802.02,2.093296,0.002299
803.59,2.091407,0.002248
805.16,2.089562,0.002201
806.73,2.08776,0.002156
808.3,2.085999,0.002114
809.87,2.084276,0.002075
811.43,2.082591,0.002037
813,2.080941,0.002002
814.57,2.079326,0.001968
816.14,2.077744,0.001936
817.7,2.076194,0.001905
819.27,2.074674,0.001876
820.84,2.073184,0.001848
822.4,2.071723,0.001821
823.97,2.070288,0.001795
825.54,2.068881,0.001769
827.1,2.067498,0.001745
828.67,2.066141,0.001722
830.23,2.064807,0.001699
831.8,2.063497,0.001677
833.36,2.062208,0.001656
834.93,2.060942,0.001635
836.49,2.059696,0.001615
838.06,2.058471,0.001595
839.62,2.057266,0.001576
841.19,2.056079,0.001557
842.75,2.054912,0.001539
844.31,2.053762,0.001522
845.88,2.05263,0.001504
847.44,2.051515,0.001487
849,2.050416,0.001471
850.57,2.049334,0.001454
852.13,2.048267,0.001439
853.69,2.047215,0.001423
855.25,2.046179,0.001408
856.82,2.045156,0.001393
858.38,2.044148,0.001378
859.94,2.043154,0.001364
861.5,2.042173,0.001349
863.06,2.041205,0.001335
864.62,2.04025,0.001322
866.18,2.039307,0.001308
867.75,2.038376,0.001295
869.31,2.037457,0.001282
870.87,2.03655,0.001269
872.43,2.035654,0.001257
873.99,2.034769,0.001244
875.55,2.033894,0.001232
877.11,2.033031,0.00122
878.66,2.032177,0.001208
880.22,2.031334,0.001196
881.78,2.0305,0.001185
883.34,2.029676,0.001174
884.9,2.028862,0.001162
886.46,2.028056,0.001151
888.02,2.02726,0.00114
889.57,2.026472,0.00113
891.13,2.025693,0.001119
892.69,2.024923,0.001109
894.25,2.024161,0.001098
895.8,2.023407,0.001088
897.36,2.022661,0.001078
898.92,2.021923,0.001068
900.47,2.021192,0.001059
902.03,2.020469,0.001049
903.59,2.019753,0.001039
905.14,2.019045,0.00103
906.7,2.018343,0.001021
908.25,2.017649,0.001011
909.81,2.016961,0.001002
911.36,2.01628,0.000994
912.92,2.015606,0.000985
914.47,2.014938,0.000976
916.02,2.014276,0.000967
917.58,2.01362,0.000959
919.13,2.012971,0.00095
920.69,2.012328,0.000942
922.24,2.01169,0.000934
923.79,2.011058,0.000926
925.35,2.010432,0.000918
926.9,2.009812,0.00091
928.45,2.009197,0.000902
930,2.008587,0.000894
931.55,2.007982,0.000887
933.11,2.007383,0.000879
934.66,2.006789,0.000872
936.21,2.0062,0.000864
937.76,2.005616,0.000857
939.31,2.005037,0.00085
940.86,2.004462,0.000842
942.41,2.003893,0.000835
943.96,2.003328,0.000828
945.51,2.002767,0.000822
947.06,2.002211,0.000815
948.61,2.001659,0.000808
950.16,2.001112,0.000801
951.71,2.000569,0.000795
953.26,2.00003,0.000788
954.81,1.999495,0.000782
956.35,1.998965,0.000775
957.9,1.998438,0.000769
959.45,1.997915,0.000763
961,1.997397,0.000757
962.55,1.996882,0.00075
964.09,1.996371,0.000744
965.64,1.995863,0.000738
967.19,1.995359,0.000732
968.73,1.994859,0.000727
970.28,1.994363,0.000721
971.82,1.99387,0.000715
973.37,1.99338,0.000709
974.92,1.992894,0.000704
976.46,1.992411,0.000698
978.01,1.991931,0.000693
979.55,1.991455,0.000687
981.09,1.990982,0.000682
982.64,1.990512,0.000677
984.18,1.990045,0.000671
985.73,1.989581,0.000666
987.27,1.989121,0.000661
988.81,1.988663,0.000656
990.36,1.988209,0.000651
991.9,1.987757,0.000646
993.44,1.987308,0.000641
994.98,1.986862,0.000636
996.53,1.986418,0.000631
998.07,1.985978,0.000626
999.61,1.98554,0.000622
1012.27,1.982041,0.000584
1015.67,1.981128,0.000575
1019.08,1.980226,0.000565
1022.48,1.979335,0.000556
1025.88,1.978454,0.000547
1029.29,1.977584,0.000539
1032.69,1.976724,0.00053
1036.09,1.975873,0.000522
1039.5,1.975033,0.000514
1042.9,1.974201,0.000505
1046.3,1.973378,0.000498
1049.7,1.972564,0.00049
1053.11,1.971759,0.000482
1056.51,1.970962,0.000475
1059.91,1.970173,0.000468
1063.31,1.969392,0.000461
1066.71,1.968618,0.000454
1070.11,1.967852,0.000447
1073.52,1.967094,0.00044
1076.92,1.966342,0.000434
1080.32,1.965598,0.000427
1083.72,1.96486,0.000421
1087.12,1.964129,0.000415
1090.52,1.963404,0.000409
1093.92,1.962685,0.000403
1097.33,1.961973,0.000397
1100.73,1.961267,0.000391
1104.13,1.960566,0.000386
1107.53,1.959872,0.00038
1110.93,1.959182,0.000375
1114.33,1.958499,0.00037
1117.73,1.95782,0.000365
1121.13,1.957147,0.000359
1124.53,1.956479,0.000354
1127.94,1.955816,0.00035
1131.34,1.955157,0.000345
1134.74,1.954504,0.00034
1138.14,1.953855,0.000335
1141.54,1.95321,0.000331
1144.94,1.95257,0.000326
1148.34,1.951934,0.000322
1151.75,1.951303,0.000318
1155.15,1.950675,0.000314
1158.55,1.950052,0.000309
1161.95,1.949432,0.000305
1165.35,1.948816,0.000301
1168.76,1.948205,0.000297
1172.16,1.947596,0.000294
1175.56,1.946992,0.00029
1178.96,1.946391,0.000286
1182.37,1.945793,0.000282
1185.77,1.945198,0.000279
1189.17,1.944607,0.000275
1192.58,1.94402,0.000272
1195.98,1.943435,0.000268
1199.38,1.942853,0.000265
1202.79,1.942275,0.000262
1206.19,1.941699,0.000259
1209.6,1.941126,0.000255
1213,1.940556,0.000252
1216.41,1.939989,0.000249
1219.81,1.939424,0.000246
1223.22,1.938862,0.000243
1226.62,1.938303,0.00024
1230.03,1.937746,0.000237
1233.43,1.937191,0.000235
1236.84,1.936639,0.000232
1240.25,1.93609,0.000229
1243.65,1.935542,0.000226
1247.06,1.934997,0.000224
1250.47,1.934454,0.000221
1253.88,1.933913,0.000219
1257.29,1.933375,0.000216
1260.69,1.932838,0.000214
1264.1,1.932304,0.000211
1267.51,1.931771,0.000209
1270.92,1.93124,0.000206
1274.33,1.930711,0.000204
1277.74,1.930184,0.000202
1281.15,1.929659,0.000199
1284.56,1.929135,0.000197
1287.98,1.928614,0.000195
1291.39,1.928093,0.000193
1294.8,1.927575,0.000191
1298.21,1.927058,0.000189
1301.63,1.926543,0.000187
1305.04,1.926029,0.000185
1308.45,1.925516,0.000183
1311.87,1.925006,0.000181
1315.28,1.924496,0.000179
1318.7,1.923988,0.000177
1322.12,1.923481,0.000175
1325.53,1.922976,0.000173
1328.95,1.922472,0.000171
1332.37,1.921969,0.000169
1335.78,1.921467,0.000168
1339.2,1.920967,0.000166
1342.62,1.920467,0.000164
1346.04,1.919969,0.000163
1349.46,1.919472,0.000161
1352.88,1.918976,0.000159
1356.3,1.918481,0.000158
1359.72,1.917987,0.000156
1363.15,1.917494,0.000154
1366.57,1.917002,0.000153
1369.99,1.916511,0.000151
1373.42,1.916021,0.00015
1376.84,1.915532,0.000148
1380.27,1.915043,0.000147
1383.69,1.914556,0.000145
1387.12,1.914069,0.000144
1390.55,1.913583,0.000143
1393.97,1.913098,0.000141
1397.4,1.912614,0.00014
1400.83,1.91213,0.000139
1404.26,1.911647,0.000137
1407.69,1.911165,0.000136
1411.12,1.910683,0.000135
1414.55,1.910202,0.000133
1417.98,1.909722,0.000132
1421.42,1.909242,0.000131
1424.85,1.908763,0.00013
1428.29,1.908284,0.000128
1431.72,1.907806,0.000127
1435.16,1.907329,0.000126
1438.59,1.906852,0.000125
1442.03,1.906375,0.000124
1445.47,1.905899,0.000123
1448.91,1.905423,0.000121
1452.35,1.904948,0.00012
1455.79,1.904473,0.000119
1459.23,1.903999,0.000118
1462.67,1.903525,0.000117
1466.11,1.903051,0.000116
1469.56,1.902578,0.000115
1473,1.902105,0.000114
1476.44,1.901632,0.000113
1479.89,1.901159,0.000112
1483.34,1.900687,0.000111
1486.78,1.900215,0.00011
1490.23,1.899744,0.000109
1493.68,1.899272,0.000108
1497.13,1.898801,0.000107
1500.58,1.89833,0.000106
1504.04,1.897859,0.000105
1507.49,1.897389,0.000105
1510.94,1.896918,0.000104
1514.4,1.896448,0.000103
1517.85,1.895977,0.000102
1521.31,1.895507,0.000101
1524.76,1.895037,0.0001
1528.22,1.894567,0.000099
1531.68,1.894098,0.000099
1535.14,1.893628,0.000098
1538.6,1.893158,0.000097
1542.06,1.892688,0.000096
1545.53,1.892219,0.000095
1548.99,1.891749,0.000095
1552.46,1.891279,0.000094
1555.92,1.89081,0.000093
1559.39,1.89034,0.000092
1562.86,1.88987,0.000092
1566.33,1.8894,0.000091
1569.8,1.888931,0.00009
1573.27,1.888461,0.000089
1576.74,1.887991,0.000089
1580.21,1.887521,0.000088
1583.69,1.88705,0.000087
1587.16,1.88658,0.000087
1590.64,1.88611,0.000086
1594.11,1.885639,0.000085
1597.59,1.885168,0.000085
1601.07,1.884697,0.000084
1604.55,1.884226,0.000083
1608.03,1.883755,0.000083
1611.52,1.883283,0.000082
1615,1.882812,0.000081
1618.49,1.88234,0.000081
1621.97,1.881868,0.00008
1625.46,1.881395,0.00008
1628.95,1.880923,0.000079
1632.44,1.88045,0.000078
1635.93,1.879977,0.000078
1639.42,1.879503,0.000077
1642.91,1.87903,0.000077
1646.41,1.878556,0.000076
1649.9,1.878082,0.000076
1653.4,1.877607,0.000075
1656.9,1.877132,0.000074
1660.39,1.876657,0.000074
1663.89,1.876181,0.000073
1667.4,1.875706,0.000073
1670.9,1.875229,0.000072
1674.4,1.874753,0.000072
1677.91,1.874276,0.000071
1681.41,1.873798,0.000071
1684.92,1.873321,0.00007
